Feature,Coefficient
EmailLength,-0.16494200190431538
WordCount,-0.20242645867253672
SentenceCount,0.024039214708895095
AvgWordLength,-0.39191944948835566
DigitCount,-0.030050792069751933
SpecialCharCount,-0.3020029556379336
aa,-0.1525727768233729
ab,0.015021626101194972
ab html,-0.09240923310915872
abil,-0.0400975013154673
abl,-0.28558207546091635
absenc,0.1446521338884433
absolut,0.3217316889268293
abstract,-0.07904034812721777
abus,0.1983496230148385
ac,0.16489392863235278
academ,-0.16057874021931579
acadia,0.1956653162927694
acceler,-0.03493453259188192
accept,0.20070015435190633
access,-0.26803708691576256
access request,-0.16081524247228568
accommod,-0.032897916011879774
accomod,0.028431345479555326
accompani,-0.1425471421374367
accomplish,-0.1170408227598191
accord,0.04331337946392774
account,1.2379739350504604
account manag,0.4770643841696198
accur,-0.09637252137288027
accuraci,0.023893842430509585
accuraci complet,0.04579544491949017
achiev,0.017608943408243583
acknowledg,-0.013615095976891029
acquir,0.174348613490038
acquisit,0.17620958529051595
acrobat,-0.30687541471100227
across,-0.1789423280186429
act,0.27009137181042264
act section,0.09728013384030364
act upon,-0.19955154758654883
action,-0.08006088159181042
action may,0.4118675590938677
activ,0.06761954273048817
actual,0.018725447440381765
actual result,0.2809163705710849
ad,0.20092273702120644
adam,0.006956265973661405
add,0.06058369127288874
addit,-0.6018268126037545
addit inform,0.09419426174525948
address,0.08390592461761377
address perman,0.5436032235689402
addresse,-0.08504758566089382
adequ,-0.03616524922239798
adjust,-0.11493786178090531
administr,0.1268083801286199
administr coordin,-0.04656832991873646
adob,0.1852624565009237
adob acrobat,-0.2962739601291756
adob creativ,0.1417047166470274
adob photoshop,0.21379813952360688
adob premier,0.1864642310363022
adopt,0.07441881118261473
adult,0.2877968412709871
advanc,0.11176269032495052
advantag,0.2779696458687828
advertis,0.7983592603914307
advertis solicit,0.542647471477001
advic,0.09589782398752665
advis,0.3235896486559415
advisor,0.14165553029544717
advisori,-0.044698002539504886
advisori board,-0.020649816628860063
affair,-0.045605968314893594
affect,0.1467125188765948
affili,0.11487815839903744
afford,0.38104406760190046
afraid,0.10358513263962495
africa,0.35051151914614015
afternoon,-0.3265588485359391
ag,0.13826481377697636
age,0.24205476351477126
agenc,-0.04305756892810101
agenda,-0.2836544281953907
agent,0.25346817888641926
agent squirrelmail,0.08601481076759625
aggreg,-0.08306185072377631
aggress,0.16656922129297141
ago,-0.19697029956821474
agre,-0.21067836839812115
agreement,-0.14832916446691838
agricultur,-0.07722621901094558
ahead,0.03672594192289674
ahmad,-0.10062209365262569
ahmad lon,-0.04525287274840575
aid,0.07614834237334622
aiesec,-0.07679439194680616
ail,0.1610394335698594
aim,0.3024731263820302
air,0.24925085506503958
air busi,0.13599050280834515
airlin,0.12730843683794216
airport,0.18614261255341408
al,0.4537084962892344
alan,-0.08205304195846046
alert,-0.18330710298323372
alex,-0.25215168484819556
alex huang,-0.07274757496226966
algorithm,-0.13437725851551863
alia,0.21474555716168728
allan,-0.04979482814417123
allen,-0.04014041896480368
allianc,-0.041980164229675376
alloc,-0.36551907258963173
allow,0.271863808609407
allow us,-0.12223068229510474
almost,-0.15804816516427544
alon,0.2036061391286619
along,-0.10542402735599704
alp,-0.048338323795385926
alp present,-0.019077374801763018
alreadi,-0.11986100403667896
also,-0.24333728920554296
also interest,0.15787761650827925
also like,0.0845170896386576
also need,-0.23588769966494552
also pleas,-0.11975216623553463
also provid,-0.03751630926737865
also want,-0.34242418985806644
also would,-0.04376128477000249
alt,-0.08756617634177906
altern,0.10253282139569472
although,-0.13306608418969437
alto,-0.07932025913505249
alumni,0.0008065928260171529
alway,0.39989318200646395
amaz,0.3290561113885014
amend,-0.12704892718312688
america,-0.2910453752419037
america corp,-0.07671371501044692
american,-0.05490062450585554
american electr,-0.06577293928684523
ami,-0.12413495397295012
ami oberg,-0.04247806245562404
amitava,-0.14819000417782596
amitava dhar,-0.13031480018733074
among,-0.05237402475886004
among competitor,0.15854466975533626
amount,-0.04117876327211462
amount chang,0.20883473092627616
analys,-0.08555754840279074
analysi,-0.5182729755109611
analyst,-0.26497785095687737
analyst associ,-0.0842251026426838
analyst program,-0.0965071189662774
analyt,-0.2874987438642338
analyz,-0.014437813923218197
andersen,-0.1403326785113746
anderson,-0.09079310624315548
andi,-0.006312844413290273
andmanyoth,0.7914340123782031
andrea,-0.05992296286729026
andrew,-0.06534003886871123
andrew cmu,-0.03424195292675601
angela,-0.0688258080304371
angela dorsey,-0.02484467009870454
anim,0.16473163906940452
anita,-0.2550835500058099
anita dupont,-0.09046642532938193
anjam,-0.28144986253679993
anjam ahmad,-0.09362510973533487
ann,0.14609657946834165
announc,-0.22127458261402017
announc today,0.12998731619972673
annual,-0.13718996862882318
annuiti,0.07824486482608828
anoth,0.1921969140416966
anshuman,-0.05973979522547375
anshuman shrivastava,-0.026069017620213276
answer,0.33308860412762525
answer question,0.17403317411886565
anthoni,0.0746543884601072
anticip,0.040436992845969855
antonio,0.350720530717002
anybodi,0.06022458540406626
anyon,0.2619036586800058
anyon els,-0.1284768693042489
anyth,0.17786175961432418
anyth els,-0.13616567696968956
anytim,0.10274366834649894
anyway,-0.2150589534819474
anywher,0.3604283668150717
aol,-0.35228657037696204
aol com,-0.36324260858514856
apart,0.09938548741937087
apolog,0.06540076348222251
appar,-0.15426914361461488
appeal,-0.07615870932979768
appear,-0.022315634346076314
appli,0.07084912764851778
applic,-0.09387711807281113
appoint,-0.14196454304036965
appreci,-0.4934564759562767
appreci could,-0.12837875174651217
appreci help,-0.1429087266723175
appreci opportun,-0.0037518624251316616
approach,-0.3411130614323346
appropri,-0.2270494368549834
approv,-0.17368005929684735
approv pleas,0.10608277944323838
approv review,-0.22049112329811157
approv stinson,-0.08378883106769427
approx,-0.08795647633761279
approxim,-0.2958951044449931
apr,0.12150577165142858
april,-0.5118158559254563
april http,-0.021130593933087135
april pm,-0.06422870013331536
april th,-0.1764250044465714
aram,-0.09349868350342286
arbitrag,-0.0799349643778991
archiv,-0.3011337454592292
area,0.6823791254415548
aris,-0.03631207834151953
arm,0.25721915667534495
around,-0.07986516557973149
around world,-0.1148474020437475
arrang,-0.42202102570568384
arrang meet,-0.07995900773651893
arriv,-0.10567885887187481
art,0.381395862197473
arthur,-0.06120624030298975
arthur andersen,-0.06755039004949104
arthurandersen,-0.09116081456819111
arthurandersen com,-0.09116081456819111
articl,-0.562128659860901
artist,0.26839292719284646
artwork,0.13188749358520138
asap,-0.2470725743625223
ashley,-0.02901978428776999
ashley baxter,-0.02396538370861177
asia,0.008961892285289532
asian,-0.10537320556720686
asian option,-0.06381660170703163
ask,-0.4503114296428297
asp,-0.2575613486714991
asp id,-0.2382693617055734
aspect,-0.09091588103582157
assembl,0.11868672649066854
assess,-0.04884931416154875
asset,-0.4162398936247189
assign,-0.4431789462054803
assist,0.16678417550759775
assist professor,-0.07373001820822357
assist shirley,-0.027094750567381334
associ,-0.5054261549317629
associ analyst,-0.1181060547841397
associ inc,-0.19039034475863803
associ program,-0.1404012318177828
assum,-0.476967883761675
assumpt,-0.14281485820000558
assur,0.6434441207738639
atlanta,-0.0692277016939122
attach,-1.4593379496705352
attach copi,-0.08207738835466342
attach file,-0.23217041341910707
attach pleas,-0.141241811847559
attach resum,-0.13197321042522717
attempt,0.4081411824860857
attend,-0.4906811830077708
attend meet,-0.05140833314678396
attende,-0.004715790652334306
attent,0.3626025143148335
attl,-0.17765240741532387
attl htm,-0.17765240741532387
attorney,-0.04082835526404892
attract,0.42670250078052235
attribut,-0.04726273256704008
au,0.11968537481774368
auction,-0.13244364979945497
audienc,-0.096012178253003
audio,-0.19959215201096833
audit,-0.112966225784703
aug,-0.05880547118857848
august,-0.44502762857681094
august subject,-0.032904230843413484
aurora,-0.17065143835073232
austin,-0.19147685395481212
austin austin,-0.04371613471035339
austin texa,-0.030653134193173486
austin tx,-0.049181618245739085
australia,-0.07327382618945778
australian,-0.07932270500052759
authent,0.5475985350008197
authent user,0.08601481076759625
author,0.03068803949702109
authoris,-0.014517591560386647
auto,0.0894714838780315
autom,0.5063591356909655
automat,-0.21246014638905714
avail,-0.03951759912467027
avail avail,0.17528932554848545
avail instant,0.34457289535485364
avail meet,-0.031745416151553886
ave,0.36922845136798527
avenu,0.04118586196401046
averag,-0.07385056799811586
averag custom,0.1807833186681954
avoid,0.02823159570097572
await,-0.12615909705782993
awar,0.25014363942550844
award,0.05631473800052331
away,0.24085855640353127
away futur,0.13599050280834515
azurix,-0.11072674327904013
back,-0.14136264043437594
back offic,0.047009646623905596
background,-0.38885989046558544
backup,0.1658243906601534
bad,0.34177494477800785
bag,0.010916756996391486
baker,-0.03439924637358657
balanc,-0.03529947278475536
ball,-0.18078221806010053
bambo,-0.13417829341277349
bandwidth,-0.1029243762092342
bank,0.6641049261776939
bank account,0.580016479224331
banker,-0.06638941369977056
bankruptci,-0.08376947403553239
barbara,-0.0887866258328499
bardzo,-0.22178465066319403
barrel,-0.0792804491525226
barrett,0.09076527121353838
barri,0.0166292926461703
barri castillo,0.08601481076759625
base,0.037347629910061665
base review,0.1807833186681954
basi,-0.15674223128316644
basic,-0.137920271515754
basket,-0.23829493723618558
baxter,-0.03691811453975578
baylor,-0.039136937693556716
baylor edu,-0.090184306945001
baylor univers,-0.06802264892468382
bbl,-0.0618425332644762
bcc,-0.048565435891296097
bear,0.00935596533133563
beauti,0.16167256113097447
becam,0.2058593510763693
beck,-0.021465090391962614
becki,-0.09671266186736653
becom,0.10791190241650929
bed,0.30505741126351676
bed thing,0.11766318023919713
began,-0.019069647683924607
begin,-0.23509810093081887
behalf,0.21499500491996573
behavior,-0.02681128676796368
behind,0.26894647035558233
belief,0.02599123163593533
believ,0.09755921131407957
belong,0.14874546937915756
ben,-0.1482580487476895
ben parson,-0.06693965715133719
bench,-0.024387580976845822
benchmark,-0.004652936176612394
benefit,0.07329041040551486
benefit creativ,0.10701379208192349
bennett,-0.10955966741264021
berkeley,-0.09698361578023194
berkeley ca,-0.031059156944406544
berkeley edu,-0.04999874803564254
bernard,-0.010838912520978185
best,0.2570252407286615
best regard,-0.3306696530855722
best reqard,0.10069265596200751
best way,0.017619282433586046
best wish,-0.3323826635472166
beth,-0.02127518782336827
beth miertschin,-0.007253673979237216
better,0.5057778209732756
beyond,-0.08067898559290874
bharati,-0.05929906937668073
bid,-0.3838484697137154
bid ask,-0.03660186901891665
bidder,-0.09002891602788508
big,0.18101957402747237
bigger,0.1417821014085735
biggest,0.2661744113927006
biliana,-0.010950506068435182
bill,-0.010382119743482595
bill bradford,-0.05450896489339858
billi,0.02694933341841512
billion,0.03668818082988394
billion dollar,0.13651314095233022
bind,0.013443355567825506
bio,-0.09362315267372028
bit,-0.15343619203124126
bit prioriti,0.08325015625985745
biz,0.5008476037988365
bjorn,-0.03903538492607321
bjorn hagelmann,-0.018654206973798156
black,0.14287904407777438
black schole,-0.15790403750234358
blame,-0.10659685028192305
blank,-0.0885670479472293
block,0.148708543857593
blood,0.15574092887938606
bloomberg,-0.07982986987613347
bnp,-0.1440562726286482
bnp pariba,-0.1502024080115421
board,-0.15289923495240923
board director,-0.013082907009500646
board meet,-0.10446945697417846
board mseb,-0.046128814757664546
bob,-0.34304017206083587
bob lee,-0.147081483792658
bodi,0.36649266619025056
bond,-0.31130830335703313
bonu,0.10411965026140348
book,-0.26808654554783523
boost,0.17535155825972085
boost revenu,0.12600554323326732
boost sex,0.07991994565561156
border,0.17765632686688426
born,0.1670128629149075
boss,-0.0792659484421279
boston,-0.10568881166943679
boston univers,-0.018365396127920857
bottom,0.0013714553564485386
bought,0.09306938215705388
bouillion,-0.016339823634586966
box,-0.010977949449132414
box waco,-0.10750350854185903
brad,-0.1279549992009373
bradford,-0.07178968030088828
bradley,-0.03210957495017823
brand,0.5873225169144468
break,-0.11269200539499746
breakfast,-0.07665560582746024
breath,0.13910677574490876
breath fresh,0.13599050280834515
breath new,0.13599050280834515
brent,-0.12601817588928943
brian,-0.010740216959652944
bridg,-0.10196628314851891
brief,-0.23753732656315862
briefli,-0.10169696121613923
bright,0.18232323896719155
bring,-0.24990110622574244
broad,-0.08761173842017447
broadband,-0.17924094729355694
broadband servic,-0.1055658335482508
broadcast,0.18427101813666846
broadcast email,0.11586356709802079
brochur,0.07905610167997631
broker,0.41356313110822995
brother,0.10822776697472632
brought,0.10426415807687403
brown,-0.09752614531442447
brown bag,-0.07156861751153457
brown robertwalt,-0.021031225325070364
brows,0.012872483761301293
brows site,0.12844766063963592
browser,0.03475531146023023
bruce,-0.07583637598743241
bryan,-0.06278920275504386
bryan seyfri,-0.06463094623512065
bs,0.08492587753279553
bu,0.04777183859040512
bu utexa,-0.0520875897421008
budget,0.02231132852400363
build,0.04370198787025741
builder,0.35804809348187877
built,0.135112147195589
bulk,0.38892849436923677
bullet,-0.009222104383878795
burn,0.3572874550719388
bush,-0.19796404972922418
busi,0.5363618701077321
busi administr,-0.06724830723990274
busi best,0.28351634210859883
busi day,0.007281442307209507
busi develop,0.07468685809846332
busi make,0.10177461185139498
busi model,-0.021990995066818963
busi organ,0.12960090307870437
busi plan,-0.08122913757528792
busi school,-0.10694945400020957
busi start,0.1281419970078636
busi unit,-0.2117623481302369
busi univers,-0.037441767393761614
button,-0.5221401130013965
buy,0.49744765373803124
buy get,0.12600665234798175
buy sell,0.10113084710683208
buyer,0.17825942521097662
ca,0.3996827013247162
ca mail,0.21987182059992255
cabinet,-0.06874648232294686
caida,-0.06997844549902636
cairn,-0.018431207319923617
cal,-0.029976313332598054
calcul,-0.21928040530108653
calendar,-0.49867365758465265
calibr,-0.11161280955768547
california,-0.5720271736955995
california berkeley,-0.013478112040827874
call,-0.5089316045354306
call question,-0.26154100074328296
call thank,-0.06707490968070119
call tomorrow,-0.06887508356143571
cambridg,-0.19096628321592865
cambridg energi,-0.2184949344439692
came,-0.2269085399360564
camera,0.18640171362342758
campaign,0.2717248656891779
campo,-0.06896897803423135
campu,-0.19517475490453068
canada,-0.19893322771560026
cancel,0.07470754107147091
candid,-0.2838309788078198
cannot,0.6603778521773649
cannot even,0.11595208174254508
cantekin,-0.17833524295014871
cantekin dincerl,-0.03480092996207461
cap,-0.19528692395671182
capabl,-0.1818541793142886
capac,-0.47829658591290813
capit,-0.15824401736826083
capit trade,-0.1415193200095481
captur,-0.16373428831629258
car,0.3477818732350504
card,0.7825674081153795
care,0.11883937292061873
career,0.025029359943267673
carl,-0.01684832258020683
carlo,-0.134964421530518
carlo simul,-0.05029203959991969
carnegi,-0.1268228781467488
carnegi mellon,-0.12060257979438922
carol,-0.029088336705724298
carr,-0.10081237834545509
carr collin,-0.10081237834545506
carri,0.19530080465449434
carrier,0.03723738227506665
carson,-0.12799886963438817
case,-0.27386062119880605
case studi,-0.10087660893051657
cash,0.23236644133445208
cash flow,-0.09215838414260415
castillo,0.08561227238053987
castro,-0.056252542301525855
catalog,0.08074801092376332
catch,0.018563360539755533
categori,0.0571678428048275
cathi,-0.01802838484768669
caus,0.19212756763675948
causey,-0.043944658223325384
caution,-0.2189730956830312
cc,-0.9637543945432617
cc bcc,-0.03507599820985206
cc sent,-0.059805726165024574
cc shirley,-0.029599330213172684
cc stinson,-0.04697711172925797
cc subject,-1.1640900560811323
cc vinc,-0.2233003614265315
cd,0.543663716649585
ce,0.21713763140567346
celebr,-0.1817576698106676
celest,-0.06605407768903382
celest robert,-0.049628722711214414
cell,-0.23515271364188894
cell phone,-0.031319852067099356
cent,0.2667299426391612
center,-0.05700570970280804
center energi,-0.038914497807039136
centr,-0.07962276696242714
central,-0.2646599386631853
ceo,-0.0017099545883397754
cera,-0.42690234591001763
cera com,-0.33194640866090735
cera confer,-0.07098862301772679
certain,0.1524779843089289
certainli,-0.25395438640432494
cfm,0.048454161864782345
chain,0.04581834332161114
chair,-0.11462972932787192
chair financ,-0.10368871222413155
chairman,-0.2898972862168534
challeng,-0.09514205505945385
chanc,0.350569998497992
chang,-0.9822412796237967
channel,0.10066152795236237
chapter,-0.1668602039347857
charg,-0.1316178912786225
charl,-0.10251199225763903
charlen,-0.13231595311812874
charlen jackson,-0.0824233870706629
charm,-0.0025232161973228837
charset,0.25511404955685935
charset iso,0.1666687241853439
chart,-0.07705157185375563
charter,-0.14652376758091887
chase,0.026886388135989918
chat,0.30596947133954155
cheap,0.5323342665801521
cheap oem,0.1814171384372232
check,0.425602133611987
cheer,-0.23262843634207314
chen,-0.058917698960466655
chicago,-0.1129733737481597
chief,-0.151282045817591
chief minist,-0.032069270796118945
children,0.3060411155547385
chilkina,-0.22852088304874044
china,0.23266893355238175
chines,0.14665069389184038
choic,0.3802681413586624
chonawe,-0.27951343225393216
chonawe supatgiat,-0.14553385357873694
choos,0.4946599153686003
chri,-0.18086280844026065
chri strickland,-0.05640731784458163
christi,-0.20259386187565978
christi forward,-0.046979098292525626
christi patrick,-0.15406085586248852
christian,0.010337512415394656
christma,-0.2036777863514509
christoph,-0.09299112906276331
ciali,0.6376914291372991
ciall,0.08280902147742557
ciall yet,0.11766318023919713
ciick,0.1582988353437275
cindi,0.0018069375818454622
cindi derecskey,-0.013367849236459914
circul,-0.028438784228283803
citi,0.18748532464232995
citi state,0.3963413177473839
cl,0.19889822209175304
claim,0.9171402103642426
clarif,-0.13214370233412173
clarifi,-0.08147440312065471
clark,-0.07053089168271662
class,-0.02967887740105458
claus,-0.32262759236863525
clay,-0.13453163901227944
clayton,-0.3644614480814503
clayton vernon,-0.119092693521818
clean,-0.0446176969303648
clear,0.00985119898643287
clear benefit,0.10701379208192349
clearli,-0.12765575466651255
clewlow,-0.04991421174881683
click,1.6360881402004643
click approv,-0.15364190427556976
click http,0.150113931865749
click link,0.07309278342881466
click see,0.13535949535387878
client,0.1681836386194281
cline,-0.067827430459219
close,-0.12343618877635423
closer,-0.08809889933384323
club,-0.20517658083776136
cluster,-0.11288540846962995
cmu,-0.07549982162257399
cmu edu,-0.03986590004297456
cn,0.19013314345006077
co,-0.2015447204771161
co rc,-0.14573469310858506
co uk,-0.10485506269162277
coal,-0.13106177103684455
coast,0.021640209142173027
cocktail,-0.08120818183967637
code,-0.22545230373072597
coffe,-0.045976710890014004
cold,-0.15117482037607016
collabor,0.06470754718238977
collar,-0.061134504007181074
colleagu,-0.43330625093949987
collect,0.5817463479574325
colleg,-0.17344311516106303
colleg busi,-0.07698121402695475
collin,-0.026041044265927474
collin chair,-0.10081237834545506
color,0.0663941532962868
color printer,-0.11142164785858222
column,-0.29829610244438104
com,0.659604687177033
com cc,-0.5803810674874352
com client,-0.17494507862512879
com enron,-0.13642119633961514
com http,0.18524718342547275
com mailman,0.16873229728578645
com mailto,0.21095727404398282
com pleas,-0.12462086319137058
com pm,-0.09374400863721542
com receiv,-0.23301966641859634
com request,-0.1247412127586868
com resourc,-0.15493510504638836
com rli,-0.19753036829791423
com sent,-0.019980461041481996
com shirley,-0.023627296023870394
com smtp,-0.01631307289684582
com subject,-0.25358241566029543
com thank,0.0779301913991824
com vinc,-0.0594373815416769
com vkamin,-0.08707556773736809
com wrote,-0.09401999108367447
combin,-0.12491248833313333
come,0.6495892956574182
come back,-0.12672056786970845
come houston,-0.07943867506719147
come tuesday,-0.01956603947242108
comfort,0.2575049139625126
comm,0.04349446235457034
command,-0.32748923825648063
comment,-0.5647532961678968
comment due,-0.014815935929460998
commentari,0.05097939531513295
commerc,-0.26877507483503627
commerci,-0.12552462641152537
commiss,-0.07340491199528555
commission,-0.06314368901893294
commit,0.1796308033272002
committe,-0.14153156159204094
commod,-0.5456651124525042
common,-0.06411584367593638
common research,-0.08012847519624533
