Feature,Coefficient
CharCount,0.06367219123234957
WordCount,-0.25649429157210357
SentenceCount,-0.1654908067069369
AvgWordLength,0.03752230577561693
aah,-0.013298186981571737
aathilove,-0.010988413216510803
aathiwhere,-0.05092537700017431
abi,-0.017600439293990053
ability,-0.04566445525859271
abiola,-0.11569857389818464
able,-0.2726692678610097
abt,-0.28697754470120806
abta,0.03928316027616238
aburo,-0.03874425657148932
ac,0.7142605367354853
academic,-0.3854109073624294
acc,-0.05635809634041144
accept,-0.3158988537332925
access,0.6307438045914716
accident,0.05689847382115787
accidentally,-0.1360356778694143
accordingly,0.30210784777726035
account,0.18387743908266682
ache,-0.0027408963451765974
across,-0.11911955620582683
action,0.11540165789262759
activate,0.06841733141452605
activity,-0.01668878365649824
actually,-0.5036253162667299
ad,0.23500402344254537
add,-0.12652910534379797
added,0.027575394816432175
addicted,-0.07731499629810928
addie,-0.02729769293110268
address,-0.1109608588571892
admirer,0.7580654543654256
adore,-0.0148228440090559
adult,0.6403741424826592
advance,-0.17304826005416252
advice,-0.08953875166054258
advise,0.18430887561701645
ae,0.061104638439442145
affair,-0.02782870214505878
affection,-0.047114097234607105
afraid,0.2995454132376775
aft,-0.07631217674964348
afternoon,-0.39552986026227155
aftr,-0.11222752118858864
age,1.106099803811668
ago,-0.10718701685584456
ah,-0.17546841235512894
aha,-0.08708280803332966
ahead,-0.09795675348028116
ahmad,-0.016956497521988904
aight,-0.34713216469076696
aint,-0.1168084271460178
air,-0.38017022047764876
airport,-0.021531917181523787
aiya,-0.013243640845102033
aiyah,-0.03031063167795856
aiyar,-0.02606127454674734
aiyo,-0.04046574578008671
al,-0.16717518888542748
alcohol,-0.03893365790150738
alert,0.5108680845511523
alex,-0.06812168907327688
alfie,0.2503525782323445
allah,-0.15447308005518534
almost,-0.12952189397776553
alone,0.1865169734088577
along,-0.008721135575480038
already,-0.5118170367931446
alright,-0.26828469773164176
alrite,-0.09002046501132795
also,-0.3931264516256926
always,-0.6421576017581541
alwys,-0.03536844792564811
amazing,0.2845160094198367
american,-0.09299720327364414
among,0.2110419473039053
amount,-0.040069765874145125
amp,-1.2628686388456236
ampm,0.6782851694161922
amt,-0.031521512545110764
an,0.5457960197516536
angry,-0.1372767127479877
announcement,0.6344552777738194
another,-0.305401941716784
ansr,0.4935982553974334
answer,0.33547646732975045
answering,-0.1225501614618613
anti,-0.04965575427038727
anybody,-0.24708683945464233
anymore,-0.07161481017570029
anyone,-0.13563042567651576
anythin,-0.04079978900547478
anything,-0.8012594070048891
anytime,0.12412373355514307
anyway,-0.24327933319975814
anyways,-0.08018054877491614
anywhere,-0.061252700958532774
apartment,-0.04404005077012762
apologise,-0.10090177363935376
app,0.16021248618313694
apparently,-0.08612612916062452
apply,1.1678553410279302
appointment,-0.06971578239874193
appreciate,-0.16567427365769447
apps,-0.04356173048693963
appt,-0.009025327188064567
april,-0.08974007684173352
ar,-0.013973051749897809
arcade,0.6410551667324207
ard,-0.09583344566128418
area,0.3279486529866676
arent,-0.08454228677843649
argh,-0.0919686451885683
argue,-0.05632170153946756
argument,-0.17163046327772277
arm,-0.09247438692446806
armand,-0.1369817705237905
arng,-0.018410823860183004
around,-0.7670428868115653
arrange,0.019080306059121248
arrested,-0.17028774885611975
arrive,0.09471764898953253
arsenal,0.38267369754865116
art,-0.04727632213004561
arun,-0.060511931236598385
as,-0.12152142037107645
asap,0.43225354860982834
ask,-0.7094998902275086
askd,-0.1424253248536439
asked,0.27879074151377703
askin,-0.10043281989277589
asking,-0.1598936637194799
asks,-0.28588449311712877
asleep,-0.08049290710245383
assume,-0.0487083576278477
ate,-0.024583924524915347
atlanta,-0.09991180113105551
atm,-0.027199464635442604
attempt,0.5970859703272847
attend,-0.03838315445896063
auction,1.115354015348076
audition,-0.036840559204600644
august,0.5228540359525644
aunt,-0.06251915226117513
aunty,-0.09569117277598124
auto,-0.02706518819997738
available,-0.09611157469270018
avatar,-0.0739275160647885
ave,0.03923209587160267
avent,-0.05524705471672772
await,0.4286954041902936
awaiting,0.5567727515440593
awake,-0.041367064071167664
award,1.0024796097997153
awarded,0.9678669607081027
away,0.08315531553010436
awesome,-0.25202283575657747
babe,0.3406235629751792
baby,0.06363292960062815
back,0.27089727658030444
bad,-0.13877542186634173
bag,-0.1077062564396692
bahamas,0.10135120646939809
bak,-0.11591474812085001
balance,0.3154818092669321
ball,-0.026035734862146227
bank,-0.329007357537084
bar,-0.05383119987493513
barely,-0.03978633332006516
basic,-0.08917309718678389
basically,-0.06813030742821304
bat,-0.0602081915213666
bath,-0.10865097111389688
bathe,-0.04977302269324604
bathing,-0.031180001118461198
battery,-0.08458282943903547
bay,-0.05235232787521972
bb,-0.09813525921754569
bcm,0.07349680457368384
bcoz,-0.266246531771491
bcums,-0.047114097234607105
bday,-0.05223390090222155
bear,0.08434467178297418
beautiful,-0.5108231982903155
beauty,-0.040182558705632594
become,0.27705236566328595
becoz,-0.04779784424193843
bed,-0.4633042952719054
bedroom,0.2141745017701869
beer,-0.08205064458059202
befor,-0.03261272587686641
begin,0.1654508182004871
behave,-0.06448540429366904
behind,-0.14851639967326724
bein,-0.025006866788390748
believe,0.02489592849500422
bell,-0.02356741180885182
belly,-0.0342503239672985
belovd,-0.19558183175612695
ben,0.340260902611554
best,-0.13730809686401335
bet,-0.022393194196631414
better,-0.08860295252773025
beware,-0.0634768050412271
beyond,-0.060075271131506104
bf,-0.023427621313830825
bid,1.307227200209829
big,-0.13514736079093598
bigger,-0.04633496178076895
biggest,0.2705375379187248
bill,0.6174626199580091
billed,0.407122338107055
bin,-0.016300160571864106
bird,0.19365878480364115
birla,-0.024011150755036063
birth,-0.05639290837603014
birthday,-0.30070753642883064
bishan,-0.02552333687332828
bit,-0.32074946335254556
bitch,0.22737059189891842
bite,-0.062104126796331274
black,-0.04997993704441984
blackberry,-0.08504982208826213
blah,-0.006214717663233576
blake,-0.033991536430482215
blame,-0.01571882985616655
blank,-0.03894879713132509
blessing,-0.12077825108481043
bloke,0.17869719781164953
bloo,-0.021143726924688102
blood,-0.1210514838644019
bloodsend,-0.049956345849328516
bloody,-0.03437006523812014
blow,0.35694413225363675
blue,-0.16386123448272777
bluetooth,0.22372319205260294
bmw,-0.018410823860183004
boat,-0.0327182448520822
body,-0.0770871814551091
bold,-0.08648030562729535
bonus,0.6755409914283032
boo,-0.027161992462401155
book,-0.11440187261665147
booked,-0.1015031397275567
booking,-0.03783430684997275
boost,-0.12883043058956298
booty,-0.04257143494589035
bored,0.10456995133679953
boring,-0.039800101978690244
born,-0.03713223978982325
bos,-0.08745183002525593
boston,-0.03499989879032866
bother,-0.1296786025559232
bottle,-0.007801156730508473
bottom,-0.10711062205311479
bought,-0.3161685300754833
bout,-0.08955724310860022
bowl,-0.06843771812636357
box,1.6170994605694347
