Category,EmailLength,WordCount,SentenceCount,AvgWordLength,DigitCount,SpecialCharCount
1,1484,324,10,3.5277777777777777,3,136
1,598,89,0,5.685393258426966,0,1
1,448,87,3,4.057471264367816,10,8
1,500,98,5,4.040816326530612,30,25
1,235,52,9,3.480769230769231,0,13
1,478,84,3,4.511904761904762,6,10
1,9340,1703,72,4.374045801526718,41,291
1,446,95,9,3.610526315789474,4,13
1,507,121,2,3.12396694214876,61,34
1,446,95,9,3.610526315789474,4,13
1,709,146,13,3.780821917808219,9,33
1,446,95,9,3.610526315789474,4,13
1,879,167,9,4.1437125748503,8,20
1,8196,1557,71,4.17276814386641,60,293
1,684,117,5,4.743589743589744,1,16
1,1000,196,15,4.025510204081633,2,33
1,215,43,3,3.953488372093023,3,9
1,663,138,11,3.717391304347826,40,40
1,80,13,0,5.076923076923077,0,5
1,2560,485,55,4.082474226804123,21,107
1,349,73,7,3.73972602739726,0,12
1,649,136,11,3.772058823529412,13,32
1,715,127,8,4.519685039370079,0,20
1,294,59,6,3.915254237288136,1,11
1,350,67,5,4.164179104477612,0,7
1,993,210,16,3.638095238095238,0,38
1,936,176,18,4.056818181818182,8,24
1,466,86,4,4.244186046511628,3,11
1,497,89,4,4.415730337078652,5,11
1,446,95,9,3.610526315789474,4,13
1,97,16,1,4.875,18,2
1,3319,617,29,4.293354943273906,16,80
1,619,136,9,3.463235294117647,22,38
1,1357,366,41,2.685792349726776,43,161
1,1990,406,31,3.9014778325123154,167,107
1,1386,332,36,3.0843373493975905,121,113
1,206,44,4,3.636363636363636,8,10
1,539,101,5,4.257425742574258,1,15
1,240,54,7,3.3703703703703702,6,15
1,958,184,16,4.108695652173913,3,49
1,542,99,4,4.313131313131313,6,10
1,374,81,8,3.54320987654321,0,19
1,9352,1703,72,4.381092190252495,43,290
1,281,49,3,4.673469387755102,6,8
1,355,74,8,3.716216216216216,0,19
1,1033,216,12,3.7314814814814814,66,33
1,261,49,3,4.26530612244898,2,7
1,2132,535,59,2.9102803738317755,249,199
1,216,47,4,3.5531914893617023,8,11
1,18999,3361,198,4.630764653376971,144,500
1,668,131,7,4.068702290076335,1,22
1,9345,1703,72,4.376981796829125,38,287
1,627,101,4,5.148514851485149,0,13
1,200,38,3,4.2368421052631575,12,8
1,347,75,7,3.546666666666667,1,16
1,3418,651,23,4.168970814132105,14,52
1,662,138,11,3.710144927536232,40,40
1,607,122,7,3.9098360655737694,3,12
1,354,63,9,4.428571428571429,0,10
1,345,73,12,3.671232876712329,2,16
1,4927,980,58,4.016326530612245,63,120
1,5805,1077,50,4.312906220984216,57,211
1,166,35,5,3.657142857142857,0,8
1,446,95,9,3.610526315789474,4,13
1,1526,331,27,3.528700906344411,3,60
1,653,126,8,4.0,24,21
1,1168,220,6,4.222727272727273,2,20
1,682,122,7,4.524590163934426,0,14
1,568,97,6,4.77319587628866,2,13
1,326,95,6,2.3263157894736843,13,52
1,115,22,2,4.181818181818182,0,4
1,828,163,10,4.042944785276074,11,38
1,661,138,11,3.7028985507246377,40,40
1,561,107,10,4.08411214953271,6,27
1,1459,324,11,3.450617283950617,3,137
1,327,64,6,4.03125,9,16
1,2960,555,24,4.333333333333333,134,129
1,1738,405,41,3.180246913580247,26,103
1,539,101,5,4.257425742574258,1,15
1,841,157,8,4.286624203821656,0,15
1,458,78,4,4.730769230769231,0,9
1,439,81,8,4.37037037037037,19,21
1,200,41,4,3.829268292682927,0,5
1,4398,824,39,4.254854368932039,27,147
1,347,75,7,3.546666666666667,1,16
1,347,75,7,3.546666666666667,1,16
1,1569,314,20,3.9713375796178334,17,28
1,432,111,10,2.855855855855856,42,58
1,10069,1819,77,4.51456844420011,194,321
1,402,76,6,4.289473684210527,0,15
1,1275,254,13,3.9291338582677167,2,25
1,589,114,7,4.149122807017544,14,19
1,1026,197,17,4.030456852791878,10,48
1,3161,612,46,4.083333333333333,45,124
1,569,103,5,4.349514563106796,0,23
1,417,72,3,4.583333333333333,0,8
1,278,56,5,3.892857142857143,2,8
1,927,181,6,4.0497237569060776,1,17
1,708,125,8,4.552,0,20
1,446,95,9,3.610526315789474,4,13
1,480,106,6,3.452830188679245,6,25
1,965,205,14,3.6439024390243904,0,22
1,2918,563,25,4.1172291296625225,45,95
1,325,61,9,4.278688524590164,4,15
1,662,138,11,3.710144927536232,40,40
1,398,92,11,3.217391304347826,20,25
1,783,155,21,3.95483870967742,5,32
1,227,41,7,4.487804878048781,9,11
1,904,231,10,2.8484848484848486,0,122
1,1364,288,35,3.701388888888889,16,79
1,1415,261,15,4.340996168582375,7,42
1,237,51,5,3.588235294117647,3,7
1,284,54,5,4.203703703703703,0,9
1,461,106,6,3.349056603773585,2,21
1,912,193,20,3.6321243523316062,12,46
1,76,18,1,3.2222222222222223,4,4
1,2543,489,32,4.10838445807771,82,94
1,661,138,11,3.7028985507246377,40,40
1,761,133,8,4.503759398496241,27,17
1,207,43,8,3.72093023255814,23,12
1,762,207,11,2.632850241545894,0,124
1,1008,205,13,3.760975609756097,25,42
1,81,15,1,4.4,8,2
1,397,90,13,3.2777777777777777,1,20
1,1159,240,15,3.758333333333333,8,40
1,494,85,3,4.635294117647059,6,10
1,19174,3367,149,4.663498663498664,167,571
1,544,99,12,4.333333333333333,8,19
1,665,138,11,3.731884057971015,40,40
1,2122,361,17,4.753462603878116,9,64
1,192,37,6,4.135135135135135,0,7
1,546,106,12,4.0,8,19
1,501,108,7,3.537037037037037,7,24
1,443,94,10,3.648936170212766,3,24
1,287,62,6,3.5806451612903225,8,14
1,909,183,15,3.879781420765027,10,38
1,660,138,11,3.695652173913044,40,40
1,897,228,10,2.8684210526315788,0,123
1,868,184,20,3.657608695652174,4,35
1,156,31,3,4.0,3,7
1,170,39,4,3.333333333333333,2,9
1,198,38,4,4.184210526315789,3,12
1,471,80,2,4.7,6,10
1,753,209,10,2.569377990430622,0,123
1,592,128,8,3.5078125,46,22
1,976,203,17,3.669950738916256,95,48
1,663,138,11,3.717391304347826,40,40
1,1132,291,28,2.821305841924399,0,152
1,72,14,2,4.142857142857143,0,3
