imdbID,Title,imdbRating,tags
tt0107362,Last Action Hero,6.5,"action adventure comedy johnmctiernan zakpenn adamleff shaneblack arnoldschwarzenegger f.murrayabraham artcarney young danny madigan is a huge fan of jack slater, a larger-than-life action hero played by arnold schwarzenegger. when his best friend, nick the projectionist, gives him a magic ticket to the newest jack slater movie, danny is transported into slater's world, his number one hero where the good guys always win. it's a dream come true for danny, but things take a turn for the worse when one of slater's enemies, benedict the hit man, gets ahold of the ticket and ends up in danny's world. slater and danny must join forces and travel back and stop him at all costs before it'll be the end of jack slater."
tt21191806,Back in Action,5.9,action comedy sethgordon sethgordon brendano'brien lillianyu jamiefoxx camerondiaz mckennaroberts former cia spies emily and matt are pulled back into espionage after their secret identities are exposed.
tt0318155,Looney Tunes: Back in Action,5.8,"animation adventure comedy joedante larrydoyle brendanfraser jennaelfman stevemartin bugs bunny and daffy duck are up to their feuding ways again. tired of playing second fiddle to bugs, daffy has decided to leave the studio for good. he is aided by warner bros.' humor impaired vice president of comedy, kate houghton, who releases him from his contract and instructs wb security guard/aspiring stunt man dj drake to capture and ""escort"" daffy off the studio lot. suddenly a sidekick without a hero, the duck decides to ally himself with dj, whether he likes it or not. consequently, daffy is on the scene when dj discovers that his famous movie star father was damian drake, known for playing suave international spies onscreen, is actually a suave international spy in real life--and has been kidnapped by the evil insane nerdy, prancing villain known as mr. chairman of the equally nefarious acme corporation. it seems that damian knows the whereabouts of the mysterious magical and powerful blue monkey diamond, and the chairman will do anything to get his hands on it! with daffy in tow, dj hits the road in a desperate attempt to outrace the evil acme stooges to the diamond and save the world from their evil clutches. unbeknownst to the two neo-spies, they are also being followed by vp kate and bugs--the studio brass has decided that the rabbit needs a comic foil after all, and kate's job is on the line if she can't get daffy back to work asap."
tt15600222,An Action Hero,7.0,"action comedy crime anirudhiyer anirudhiyer neerajyadav ayushmannkhurrana jaideepahlawat gautamjoglekar a murder accusation turns a movie star's own life into an eccentric action thriller as he flees the country, with a vengeful politician hot on his heels."
tt0120633,A Civil Action,6.6,"biography drama stevenzaillian jonathanharr stevenzaillian johntravolta robertduvall tonyshalhoub jan schlichtmann, a tenacious lawyer, is addressed by a group of families. when investigating the seemingly non-profiting case, he finds it to be a major environmental issue that has a lot of impact potential. a leather production company could be responsible for several deadly cases of leukemia, but also is the main employer for the area. schlichtmann and his three colleagues set out to have the company forced to decontaminate the affected areas, and of course to sue for a major sum of compensation. but the lawyers of the leather company's mother company are not easy to get to, and soon schlichtmann and his friends find themselves in a battle of mere survival."
tt0087727,Missing in Action,5.5,"action adventure drama josephzito arthursilver larrylevinson stevebing chucknorris m.emmetwalsh davidtress colonel james braddock is an american officer who spent seven years in a north vietnamese pow camp, then escaped 10 years ago. after the bloodiest war, braddock accompanies a government investigation team that goes to ho chi minh city to check out reports of americans still held prisoner. braddock gets the evidence then travels to thailand, where he meets tuck, an old army buddy turned black market kingpin. together, they launch a mission deep into the jungle to free the american pows from general trau."
tt0094612,Action Jackson,5.6,"action comedy crime craigr.baxley robertreneau carlweathers craigt.nelson vanity jericho ""action"" jackson is a detroit police sergeant who was demoted from lieutenant for almost tearing the arm off of sexually violent sociopath sean dellaplane, whose father is peter dellaplane, a major car manufacturer. but dellaplane himself is violent as well. dellaplane kills his wife patrice by shooting her. and then he plants her body in jackson's apartment, framing jackson. dellaplane won't miss patrice very much, because he has a drug-addicted mistress named sydney ash. he keeps sydney hooked with a free supply of heroin. jackson suspects dellaplane of masterminding a murder spree against local officials from the auto workers' union. dellaplane's mission is to gain a political power base and choose the next president of the united states. because of what happened to dellaplane's son sean, dellaplane has taken a particular dislike to jackson. jackson gets sydney's help in going after dellaplane."
tt6495770,Action Point,5.2,"comedy timkirkby johnaltschuler davekrinsky johnnyknoxville johnnyknoxville eleanorworthington-cox chrispontius d.c. (johnny knoxville) is the crackpot owner of action point, a low-rent, out-of-control amusement park with dangerous rides. just as d.c.'s estranged teenage daughter boogie (eleanor worthington cox) comes to visit, a corporate mega-park opens nearby and jeopardizes the future of action point. to save his beloved theme park and his relationship with his daughter, d.c. and the action point staff risk everything to pull out all the stops.."
tt13423846,321 Action,1.0,drama shadyalramly mayssamaghrebi rakanabdulwahed dyler majedfawaz a solitary actress devoted to caring for her daughter decides to return to acting with a new movie; many comedic ironies occur during the filming of this new film.
tt0089604,Missing in Action 2: The Beginning,5.3,"action drama thriller lancehool arthursilver larrylevinson stevebing chucknorris soon-tekoh stevenwilliams prequel to the first missing in action, set in the early 1980s it shows the capture of colonel braddock during the vietnam war in the 1970s, and his captivity with other american pows in a brutal prison camp, and his plans to escape."
