imdbID,Title,Year,Type,Genre,Director,Writer,Actors,Plot,Language,Country,Runtime,Rated,Awards,imdbRating,imdbVotes,Poster
tt0107362,Last Action Hero,1993,movie,"Action, Adventure, Comedy",John McTiernan,"Zak Penn, Adam Leff, Shane Black","Arnold Schwarzenegger, F. Murray Abraham, Art Carney","Young Danny Madigan is a huge fan of Jack Slater, a larger-than-life action hero played by Arnold Schwarzenegger. When his best friend, Nick the projectionist, gives him a magic ticket to the newest Jack Slater movie, Danny is transported into Slater's world, his number one hero where the good guys always win. It's a dream come true for Danny, but things take a turn for the worse when one of Slater's enemies, Benedict the hit man, gets ahold of the ticket and ends up in Danny's world. Slater and Danny must join forces and travel back and stop him at all costs before it'll be the end of Jack Slater.",English,United States,130 min,PG-13,1 win & 16 nominations total,6.5,"173,615",https://m.media-amazon.com/images/M/MV5BZGU2NWQyY2ItY2JiZS00ZDJhLWI0NDQtNjMyNWU3MDA1NTgzXkEyXkFqcGc@._V1_SX300.jpg
tt21191806,Back in Action,2025,movie,"Action, Comedy",Seth Gordon,"Seth Gordon, Brendan O'Brien, Lillian Yu","Jamie Foxx, Cameron Diaz, McKenna Roberts",Former CIA spies Emily and Matt are pulled back into espionage after their secret identities are exposed.,"English, Polish",United States,114 min,PG-13,1 nomination total,5.9,"65,501",https://m.media-amazon.com/images/M/MV5BMWQ4YWYxYTAtZTlhNC00Nzc3LWE3OWUtZjY5MThlNWNiYTBiXkEyXkFqcGc@._V1_SX300.jpg
tt0318155,Looney Tunes: Back in Action,2003,movie,"Animation, Adventure, Comedy",Joe Dante,Larry Doyle,"Brendan Fraser, Jenna Elfman, Steve Martin","Bugs Bunny and Daffy Duck are up to their feuding ways again. Tired of playing second fiddle to Bugs, Daffy has decided to leave the Studio for good. He is aided by Warner Bros.' humor impaired Vice President of Comedy, Kate Houghton, who releases him from his contract and instructs WB security guard/aspiring stunt man DJ Drake to capture and ""escort"" Daffy off the studio lot. Suddenly a sidekick without a hero, the duck decides to ally himself with DJ, whether he likes it or not. Consequently, Daffy is on the scene when DJ discovers that his famous movie star father was Damian Drake, known for playing suave international spies onscreen, is actually a suave international spy in real life--and has been kidnapped by the evil insane nerdy, prancing villain known as Mr. Chairman of the equally nefarious Acme Corporation. It seems that Damian knows the whereabouts of the mysterious magical and powerful Blue Monkey Diamond, and the Chairman will do anything to get his hands on it! With Daffy in tow, DJ hits the road in a desperate attempt to outrace the evil Acme stooges to the diamond and save the world from their evil clutches. Unbeknownst to the two neo-spies, they are also being followed by VP Kate and Bugs--the studio brass has decided that the rabbit needs a comic foil after all, and Kate's job is on the line if she can't get Daffy back to work ASAP.",English,"Germany, United States",91 min,PG,10 nominations total,5.8,"41,828",https://m.media-amazon.com/images/M/MV5BNDU2NmU2YzktNWFlMC00MDk1LWFhZjQtYjUxZThiMjZhNjQ2XkEyXkFqcGc@._V1_SX300.jpg
tt15600222,An Action Hero,2022,movie,"Action, Comedy, Crime",Anirudh Iyer,"Anirudh Iyer, Neeraj Yadav","Ayushmann Khurrana, Jaideep Ahlawat, Gautam Joglekar","A murder accusation turns a movie star's own life into an eccentric action thriller as he flees the country, with a vengeful politician hot on his heels.",Hindi,"India, United Kingdom",130 min,,5 wins & 18 nominations,7.0,"32,711",https://m.media-amazon.com/images/M/MV5BNWUzNzljNjMtYTdiZS00MWQ2LWFkZWItYTM0MzVmZGFhYzNjXkEyXkFqcGc@._V1_SX300.jpg
tt0120633,A Civil Action,1998,movie,"Biography, Drama",Steven Zaillian,"Jonathan Harr, Steven Zaillian","John Travolta, Robert Duvall, Tony Shalhoub","Jan Schlichtmann, a tenacious lawyer, is addressed by a group of families. When investigating the seemingly non-profiting case, he finds it to be a major environmental issue that has a lot of impact potential. A leather production company could be responsible for several deadly cases of leukemia, but also is the main employer for the area. Schlichtmann and his three colleagues set out to have the company forced to decontaminate the affected areas, and of course to sue for a major sum of compensation. But the lawyers of the leather company's mother company are not easy to get to, and soon Schlichtmann and his friends find themselves in a battle of mere survival.",English,United States,115 min,PG-13,Nominated for 2 Oscars. 5 wins & 10 nominations total,6.6,"32,240",https://m.media-amazon.com/images/M/MV5BMDgyNDNkYTMtYmU0NC00YjliLWFhNjgtMmFhOTQ1MmE4NzNmXkEyXkFqcGc@._V1_SX300.jpg
tt0087727,Missing in Action,1984,movie,"Action, Adventure, Drama",Joseph Zito,"Arthur Silver, Larry Levinson, Steve Bing","Chuck Norris, M. Emmet Walsh, David Tress","Colonel James Braddock is an American officer who spent seven years in a North Vietnamese POW camp, then escaped 10 years ago. After the bloodiest war, Braddock accompanies a government investigation team that goes to Ho Chi Minh City to check out reports of Americans still held prisoner. Braddock gets the evidence then travels to Thailand, where he meets Tuck, an old Army buddy turned black market kingpin. Together, they launch a mission deep into the jungle to free the American POWs from General Trau.","English, Vietnamese",United States,101 min,R,2 nominations total,5.5,"18,026",https://m.media-amazon.com/images/M/MV5BZGE2NmNlODYtMzMyNS00YTM0LThlMzMtNjg1YTBhMTRkNjJhXkEyXkFqcGc@._V1_SX300.jpg
tt0094612,Action Jackson,1988,movie,"Action, Comedy, Crime",Craig R. Baxley,Robert Reneau,"Carl Weathers, Craig T. Nelson, Vanity","Jericho ""Action"" Jackson is a Detroit police sergeant who was demoted from lieutenant for almost tearing the arm off of sexually violent sociopath Sean Dellaplane, whose father is Peter Dellaplane, a major car manufacturer. But Dellaplane himself is violent as well. Dellaplane kills his wife Patrice by shooting her. And then he plants her body in Jackson's apartment, framing Jackson. Dellaplane won't miss Patrice very much, because he has a drug-addicted mistress named Sydney Ash. He keeps Sydney hooked with a free supply of heroin. Jackson suspects Dellaplane of masterminding a murder spree against local officials from the auto workers' union. Dellaplane's mission is to gain a political power base and choose the next president of the United States. Because of what happened to Dellaplane's son Sean, Dellaplane has taken a particular dislike to Jackson. Jackson gets Sydney's help in going after Dellaplane.",English,United States,96 min,R,2 nominations total,5.6,"13,166",https://m.media-amazon.com/images/M/MV5BMzY1N2NjMjYtM2U3OS00OTMzLTk4OGEtMWI1YjUwMWRjODQ1XkEyXkFqcGc@._V1_SX300.jpg
tt6495770,Action Point,2018,movie,Comedy,Tim Kirkby,"John Altschuler, Dave Krinsky, Johnny Knoxville","Johnny Knoxville, Eleanor Worthington-Cox, Chris Pontius","D.C. (Johnny Knoxville) is the crackpot owner of Action Point, a low-rent, out-of-control amusement park with dangerous rides. Just as D.C.'s estranged teenage daughter Boogie (Eleanor Worthington Cox) comes to visit, a corporate mega-park opens nearby and jeopardizes the future of Action Point. To save his beloved theme park and his relationship with his daughter, D.C. and the Action Point staff risk everything to pull out all the stops..",English,"South Africa, United States",85 min,R,,5.2,"12,670",https://m.media-amazon.com/images/M/MV5BMjEyMTU5MTk1N15BMl5BanBnXkFtZTgwMzIzMzczNTM@._V1_SX300.jpg
tt13423846,321 Action,2020,movie,Drama,Shady Al Ramly,Mayssa Maghrebi,"Rakan Abdulwahed, Dyler, Majed Fawaz",A solitary actress devoted to caring for her daughter decides to return to acting with a new movie; many comedic ironies occur during the filming of this new film.,Arabic,Saudi Arabia,100 min,,,1.0,"10,229",https://m.media-amazon.com/images/M/MV5BODdlNmZiYmItYTkyZC00NDNhLWEzMDctZjJhMDNjZWJkNTRlXkEyXkFqcGc@._V1_SX300.jpg
tt0089604,Missing in Action 2: The Beginning,1985,movie,"Action, Drama, Thriller",Lance Hool,"Arthur Silver, Larry Levinson, Steve Bing","Chuck Norris, Soon-Tek Oh, Steven Williams","Prequel to the first Missing In Action, set in the early 1980s it shows the capture of Colonel Braddock during the Vietnam war in the 1970s, and his captivity with other American POWs in a brutal prison camp, and his plans to escape.","English, Vietnamese",United States,100 min,R,,5.3,"10,068",https://m.media-amazon.com/images/M/MV5BZjQwNjUxZjUtYmUxOS00YmRjLTljZTgtMTc0OTFlZDllZjM5XkEyXkFqcGc@._V1_SX300.jpg
