Title,Year,imdbID,Type,Poster
Last Action Hero,1993,tt0107362,movie,https://m.media-amazon.com/images/M/MV5BZGU2NWQyY2ItY2JiZS00ZDJhLWI0NDQtNjMyNWU3MDA1NTgzXkEyXkFqcGc@._V1_SX300.jpg
Back in Action,2025,tt21191806,movie,https://m.media-amazon.com/images/M/MV5BMWQ4YWYxYTAtZTlhNC00Nzc3LWE3OWUtZjY5MThlNWNiYTBiXkEyXkFqcGc@._V1_SX300.jpg
Looney Tunes: Back in Action,2003,tt0318155,movie,https://m.media-amazon.com/images/M/MV5BNDU2NmU2YzktNWFlMC00MDk1LWFhZjQtYjUxZThiMjZhNjQ2XkEyXkFqcGc@._V1_SX300.jpg
An Action Hero,2022,tt15600222,movie,https://m.media-amazon.com/images/M/MV5BNWUzNzljNjMtYTdiZS00MWQ2LWFkZWItYTM0MzVmZGFhYzNjXkEyXkFqcGc@._V1_SX300.jpg
A Civil Action,1998,tt0120633,movie,https://m.media-amazon.com/images/M/MV5BMDgyNDNkYTMtYmU0NC00YjliLWFhNjgtMmFhOTQ1MmE4NzNmXkEyXkFqcGc@._V1_SX300.jpg
Missing in Action,1984,tt0087727,movie,https://m.media-amazon.com/images/M/MV5BZGE2NmNlODYtMzMyNS00YTM0LThlMzMtNjg1YTBhMTRkNjJhXkEyXkFqcGc@._V1_SX300.jpg
Action Jackson,1988,tt0094612,movie,https://m.media-amazon.com/images/M/MV5BMzY1N2NjMjYtM2U3OS00OTMzLTk4OGEtMWI1YjUwMWRjODQ1XkEyXkFqcGc@._V1_SX300.jpg
Action Point,2018,tt6495770,movie,https://m.media-amazon.com/images/M/MV5BMjEyMTU5MTk1N15BMl5BanBnXkFtZTgwMzIzMzczNTM@._V1_SX300.jpg
321 Action,2020,tt13423846,movie,https://m.media-amazon.com/images/M/MV5BODdlNmZiYmItYTkyZC00NDNhLWEzMDctZjJhMDNjZWJkNTRlXkEyXkFqcGc@._V1_SX300.jpg
Missing in Action 2: The Beginning,1985,tt0089604,movie,https://m.media-amazon.com/images/M/MV5BZjQwNjUxZjUtYmUxOS00YmRjLTljZTgtMTc0OTFlZDllZjM5XkEyXkFqcGc@._V1_SX300.jpg
Class Action,1991,tt0101590,movie,https://m.media-amazon.com/images/M/MV5BNDA3YzcwY2YtMGFmOC00OWEzLTgyOTAtZDNlNTdiODQ1MjgxXkEyXkFqcGc@._V1_SX300.jpg
Class Action Park,2020,tt11015214,movie,https://m.media-amazon.com/images/M/MV5BYWI1MDBlOGEtZmQ3MS00OTBlLTk0MzItNGFkNGYwOGI0MzVhXkEyXkFqcGc@._V1_SX300.jpg
Braddock: Missing in Action III,1988,tt0094792,movie,https://m.media-amazon.com/images/M/MV5BNTM5NmZiYmQtNzBiOS00NmNlLWExOWMtMTE4OGJhYmU3YjVjXkEyXkFqcGc@._V1_SX300.jpg
Action Replayy,2010,tt1396208,movie,https://m.media-amazon.com/images/M/MV5BMTMyMDc1MDIwMl5BMl5BanBnXkFtZTcwNDUyMDgwNA@@._V1_SX300.jpg
Mutant Action,1993,tt0106215,movie,https://m.media-amazon.com/images/M/MV5BYjI3ODQxOWQtZWI4Ni00NTA5LTg3YmUtOTAyNjhhMmI4NjhkXkEyXkFqcGc@._V1_SX300.jpg
Action in the North Atlantic,1943,tt0035608,movie,https://m.media-amazon.com/images/M/MV5BYWZkNTI2NmUtNTRlYS00YTE3LWI0Y2ItNzcwZDc3MDExYWUzXkEyXkFqcGc@._V1_SX300.jpg
Action Hero Biju,2016,tt5320514,movie,https://m.media-amazon.com/images/M/MV5BZTc5MzRiMDItN2M4OC00NzE5LTg0ZWYtYjdjN2FkYmQ5MDI0XkEyXkFqcGc@._V1_SX300.jpg
Action Jackson,2014,tt0403935,movie,https://m.media-amazon.com/images/M/MV5BYzI4MTNjYjItNTNkMy00YjY2LThlNzctOGViZjc4NDgwZWY0XkEyXkFqcGc@._V1_SX300.jpg
A Man of Action,2022,tt12703292,movie,https://m.media-amazon.com/images/M/MV5BZDNmYjczZTUtYzRhNi00NzYzLTg3MjctMmFhN2ZlMDBiMGIzXkEyXkFqcGc@._V1_SX300.jpg
Uncharted: Live Action Fan Film,2018,tt8707436,movie,https://m.media-amazon.com/images/M/MV5BYjQyYzBjMTktMzZiNi00NjMyLTgyMDUtMjJhNzgwNjc1N2Q1XkEyXkFqcGdeQXVyNDQ1ODU5NTU@._V1_SX300.jpg
Executive Action,1973,tt0070046,movie,https://m.media-amazon.com/images/M/MV5BZDE0OGRmZGYtNGIyMi00Zjk2LWJlZWYtOTBkODVlNjRkMTMzXkEyXkFqcGc@._V1_SX300.jpg
