match_id,season,match_date,city,venue,match_type,gender,team_type,team_1,team_2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,result,method,eliminator,player_of_match,event_name,event_match_number,event_group,overs,balls_per_over,source_file
1082591,2017,2017-04-05,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",T20,male,club,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,35,0,,,,Yuvraj Singh,Indian Premier League,1.0,,20,6,1082591.json
1082592,2017,2017-04-06,Pune,Maharashtra Cricket Association Stadium,T20,male,club,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,0,7,,,,SPD Smith,Indian Premier League,2.0,,20,6,1082592.json
1082593,2017,2017-04-07,Rajkot,Saurashtra Cricket Association Stadium,T20,male,club,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,10,,,,CA Lynn,Indian Premier League,3.0,,20,6,1082593.json
1082594,2017,2017-04-08,Indore,Holkar Cricket Stadium,T20,male,club,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Kings XI Punjab,0,6,,,,GJ Maxwell,Indian Premier League,4.0,,20,6,1082594.json
1082595,2017,2017-04-08,Bengaluru,M.Chinnaswamy Stadium,T20,male,club,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,15,0,,,,KM Jadhav,Indian Premier League,5.0,,20,6,1082595.json
1082596,2017,2017-04-09,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",T20,male,club,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,9,,,,Rashid Khan,Indian Premier League,6.0,,20,6,1082596.json
1082597,2017,2017-04-09,Mumbai,Wankhede Stadium,T20,male,club,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,0,4,,,,N Rana,Indian Premier League,7.0,,20,6,1082597.json
1082598,2017,2017-04-10,Indore,Holkar Cricket Stadium,T20,male,club,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,0,8,,,,AR Patel,Indian Premier League,8.0,,20,6,1082598.json
1082599,2017,2017-04-11,Pune,Maharashtra Cricket Association Stadium,T20,male,club,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,field,Delhi Daredevils,97,0,,,,SV Samson,Indian Premier League,9.0,,20,6,1082599.json
1082600,2017,2017-04-12,Mumbai,Wankhede Stadium,T20,male,club,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,0,4,,,,JJ Bumrah,Indian Premier League,10.0,,20,6,1082600.json
1082601,2017,2017-04-13,Kolkata,Eden Gardens,T20,male,club,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8,,,,SP Narine,Indian Premier League,11.0,,20,6,1082601.json
1082602,2017,2017-04-14,Bangalore,M Chinnaswamy Stadium,T20,male,club,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,4,,,,KA Pollard,Indian Premier League,12.0,,20,6,1082602.json
1082603,2017,2017-04-14,Rajkot,Saurashtra Cricket Association Stadium,T20,male,club,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Gujarat Lions,0,7,,,,AJ Tye,Indian Premier League,13.0,,20,6,1082603.json
1082604,2017,2017-04-15,Kolkata,Eden Gardens,T20,male,club,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,17,0,,,,RV Uthappa,Indian Premier League,14.0,,20,6,1082604.json
1082605,2017,2017-04-15,Delhi,Feroz Shah Kotla,T20,male,club,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,51,0,,,,CJ Anderson,Indian Premier League,15.0,,20,6,1082605.json
1082606,2017,2017-04-16,Mumbai,Wankhede Stadium,T20,male,club,Mumbai Indians,Gujarat Lions,Mumbai Indians,field,Mumbai Indians,0,6,,,,N Rana,Indian Premier League,16.0,,20,6,1082606.json
1082607,2017,2017-04-16,Bangalore,M Chinnaswamy Stadium,T20,male,club,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,Rising Pune Supergiant,27,0,,,,BA Stokes,Indian Premier League,17.0,,20,6,1082607.json
1082608,2017,2017-04-17,Delhi,Feroz Shah Kotla,T20,male,club,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,0,4,,,,NM Coulter-Nile,Indian Premier League,18.0,,20,6,1082608.json
1082609,2017,2017-04-17,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",T20,male,club,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,5,0,,,,B Kumar,Indian Premier League,19.0,,20,6,1082609.json
1082610,2017,2017-04-18,Rajkot,Saurashtra Cricket Association Stadium,T20,male,club,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,field,Royal Challengers Bangalore,21,0,,,,CH Gayle,Indian Premier League,20.0,,20,6,1082610.json
1082611,2017,2017-04-19,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",T20,male,club,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,15,0,,,,KS Williamson,Indian Premier League,21.0,,20,6,1082611.json
1082612,2017,2017-04-20,Indore,Holkar Cricket Stadium,T20,male,club,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,8,,,,JC Buttler,Indian Premier League,22.0,,20,6,1082612.json
1082613,2017,2017-04-21,Kolkata,Eden Gardens,T20,male,club,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,0,4,,,,SK Raina,Indian Premier League,23.0,,20,6,1082613.json
1082614,2017,2017-04-22,Mumbai,Wankhede Stadium,T20,male,club,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,14,0,,,,MJ McClenaghan,Indian Premier League,25.0,,20,6,1082614.json
1082615,2017,2017-04-22,Pune,Maharashtra Cricket Association Stadium,T20,male,club,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,field,Rising Pune Supergiant,0,6,,,,MS Dhoni,Indian Premier League,24.0,,20,6,1082615.json
1082616,2017,2017-04-23,Rajkot,Saurashtra Cricket Association Stadium,T20,male,club,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,Kings XI Punjab,26,0,,,,HM Amla,Indian Premier League,26.0,,20,6,1082616.json
1082617,2017,2017-04-23,Kolkata,Eden Gardens,T20,male,club,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,82,0,,,,NM Coulter-Nile,Indian Premier League,27.0,,20,6,1082617.json
1082618,2017,2017-04-24,Mumbai,Wankhede Stadium,T20,male,club,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Rising Pune Supergiant,3,0,,,,BA Stokes,Indian Premier League,28.0,,20,6,1082618.json
